region,site,n_microsites
Carrizo,Carrizo_3,135
Carrizo,Carrizo_4,245
Carrizo,Carrizo_Soda Lake,80
Cuyama,Cuyama_1,155
Cuyama,Cuyama_2,130
Mojave,Tecopa,182
Mojave,Tecopa_open,32
